Index,Timestep,Value
2,0,2231650
3,0,666856
0,0,665261
0,512,666060
0,1024,666492
0,1536,665367
0,2048,664712
5,2560,8224112
6,2560,9138264
0,2560,664738
0,3072,665932
0,3584,666886
0,4096,666854
0,4608,665975
2,5120,2230670
3,5120,667783
0,5376,665533
0,5888,664829
0,6400,664882
0,6912,665522
0,7424,665655
5,7680,8229494
6,7680,9142580
0,7936,665154
0,8448,664520
0,8960,663976
0,9472,664536
0,9984,665277
2,10240,2230947
3,10240,670980
0,10752,665911
0,10752,664978
0,11264,664413
5,11776,8225370
6,11776,9135216
0,11776,663689
0,12544,665495
0,13056,666151
0,13568,665788
0,14080,664802
2,14336,2232961
3,14336,669094
0,14336,663896
0,15104,663507
0,15616,663779
0,16128,664381
0,16640,663609
5,16896,8225125
6,16896,9147722
0,17152,663081
0,17664,662815
0,18432,662793
0,18944,662580
0,19456,663710
2,19456,2231394
3,19456,669185
0,19968,663433
0,20480,663028
0,20992,662793
0,21504,661871
5,22016,8226883
6,22016,9132775
0,22016,662250
0,22272,664392
0,22784,664696
0,23296,663902
2,23552,2231357
3,23552,668226
0,23552,663342
0,24320,664179
0,24832,665495
0,25344,666332
0,25856,666012
5,26112,8224816
6,26112,9140949
0,26368,665570
0,26880,664552
0,27392,664381
0,28160,665692
0,28672,666684
2,28672,2226679
3,28672,665108
0,29184,665943
0,29696,665021
0,30208,664930
0,30720,663752
5,31232,8229494
6,31232,9141365
0,31232,664067
0,31744,664866
0,32256,664930
0,32768,664365
0,33280,664179
2,33792,2227761
3,33792,664810
0,33792,664312
0,34560,665181
0,35072,665756
5,35328,8225599
6,35328,9136244
0,35584,665314
0,36096,664456
0,36608,664003
0,37120,664994
0,37632,666652
2,37888,2229615
3,37888,667874
0,38400,666327
0,38912,665596
0,39424,664285
0,39936,664200
0,40448,665890
5,40448,8225935
6,40448,9147013
0,40960,667147
0,41472,667702
0,41984,667217
0,42496,666588
2,43008,2230851
3,43008,667980
0,43008,666017
0,43776,665586
0,44288,666518
0,44800,666561
0,45312,666433
5,45568,8226323
6,45568,9136058
0,45824,664552
0,46336,665186
0,46848,665548
2,47104,2232220
3,47104,665844
0,47360,666263
0,47872,665879
0,48640,664690
0,49152,664211
0,49664,665127
5,49664,8223462
6,49664,9139175
0,50176,665522
0,50688,665623
0,51200,665016
0,51712,664946
2,52224,2233051
3,52224,668833
0,52224,664291
0,52736,665186
0,53248,666124
0,54016,666172
0,54528,665911
5,54784,8228769
6,54784,9142122
0,54784,666060
0,55552,665357
0,56064,665911
0,56576,667078
0,57088,667137
2,57344,2232337
3,57344,669265
0,57600,664808
0,58368,664920
0,58880,665858
5,58880,8225876
6,58880,9133420
0,59392,665985
0,59904,666049
0,60416,665218
0,60928,664813
2,61440,2229476
3,61440,669526
0,61440,663667
0,61952,664301
0,62464,665149
0,62976,665596
0,63744,665298
5,64000,8226020
6,64000,9147397
0,64000,664451
0,64768,663022
0,65280,663054
